"SA1_MAINCODE_2016","SA1_sevendigitcode_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
10102100701,1100701,120,"Hume",1,"New South Wales",362.8727
10102100702,1100702,113,"Eden-Monaro",1,"New South Wales",229.7459
10102100703,1100703,113,"Eden-Monaro",1,"New South Wales",2.391
10102100704,1100704,113,"Eden-Monaro",1,"New South Wales",1.2816
10102100705,1100705,113,"Eden-Monaro",1,"New South Wales",1.1978
10102100706,1100706,113,"Eden-Monaro",1,"New South Wales",63.3894
10102100707,1100707,113,"Eden-Monaro",1,"New South Wales",442.7713
10102100708,1100708,113,"Eden-Monaro",1,"New South Wales",1137.7239
10102100709,1100709,113,"Eden-Monaro",1,"New South Wales",350.9881
10102100710,1100710,113,"Eden-Monaro",1,"New South Wales",825.9908
10102100801,1100801,113,"Eden-Monaro",1,"New South Wales",0.1435
10102100802,1100802,113,"Eden-Monaro",1,"New South Wales",0.3
10102100803,1100803,113,"Eden-Monaro",1,"New South Wales",0.1309
10102100804,1100804,113,"Eden-Monaro",1,"New South Wales",0.2218
10102100805,1100805,113,"Eden-Monaro",1,"New South Wales",0.0978
10102100806,1100806,113,"Eden-Monaro",1,"New South Wales",0.1358
10102100807,1100807,113,"Eden-Monaro",1,"New South Wales",0.2451
10102100808,1100808,113,"Eden-Monaro",1,"New South Wales",0.1538
10102100809,1100809,113,"Eden-Monaro",1,"New South Wales",3.2796
10102100810,1100810,113,"Eden-Monaro",1,"New South Wales",0.0931
10102100811,1100811,113,"Eden-Monaro",1,"New South Wales",0.1627
10102100812,1100812,113,"Eden-Monaro",1,"New South Wales",0.1109
10102100813,1100813,113,"Eden-Monaro",1,"New South Wales",0.2157
10102100814,1100814,113,"Eden-Monaro",1,"New South Wales",0.2984
10102100815,1100815,113,"Eden-Monaro",1,"New South Wales",0.1426
10102100816,1100816,113,"Eden-Monaro",1,"New South Wales",0.3033
10102100817,1100817,113,"Eden-Monaro",1,"New South Wales",0.1242
10102100818,1100818,113,"Eden-Monaro",1,"New South Wales",0.1076
10102100819,1100819,113,"Eden-Monaro",1,"New South Wales",0.1626
10102100820,1100820,113,"Eden-Monaro",1,"New South Wales",0.1713
10102100821,1100821,113,"Eden-Monaro",1,"New South Wales",0.1624
10102100822,1100822,113,"Eden-Monaro",1,"New South Wales",0.1207
10102100823,1100823,113,"Eden-Monaro",1,"New South Wales",0.0987
10102100901,1100901,113,"Eden-Monaro",1,"New South Wales",0.1001
10102100902,1100902,113,"Eden-Monaro",1,"New South Wales",0.1352
10102100904,1100904,113,"Eden-Monaro",1,"New South Wales",0.1383
10102100905,1100905,113,"Eden-Monaro",1,"New South Wales",0.267
10102100907,1100907,113,"Eden-Monaro",1,"New South Wales",0.1637
10102100908,1100908,113,"Eden-Monaro",1,"New South Wales",0.1584
10102100909,1100909,113,"Eden-Monaro",1,"New South Wales",0.0908
10102100910,1100910,113,"Eden-Monaro",1,"New South Wales",0.1045
10102100911,1100911,113,"Eden-Monaro",1,"New South Wales",0.1495
10102100912,1100912,113,"Eden-Monaro",1,"New South Wales",0.1142
10102100913,1100913,113,"Eden-Monaro",1,"New South Wales",0.2618
10102100914,1100914,113,"Eden-Monaro",1,"New South Wales",0.2756
10102100915,1100915,113,"Eden-Monaro",1,"New South Wales",0.1891
10102100916,1100916,113,"Eden-Monaro",1,"New South Wales",0.1464
10102100917,1100917,113,"Eden-Monaro",1,"New South Wales",0.2596
10102100918,1100918,113,"Eden-Monaro",1,"New South Wales",0.2109
10102100919,1100919,113,"Eden-Monaro",1,"New South Wales",0.3559
10102100920,1100920,113,"Eden-Monaro",1,"New South Wales",0.0786
10102100921,1100921,113,"Eden-Monaro",1,"New South Wales",0.0705
10102100923,1100923,113,"Eden-Monaro",1,"New South Wales",0.2178
10102100924,1100924,113,"Eden-Monaro",1,"New South Wales",0.1573
10102100925,1100925,113,"Eden-Monaro",1,"New South Wales",0.0568
10102100926,1100926,113,"Eden-Monaro",1,"New South Wales",0.1128
10102100927,1100927,113,"Eden-Monaro",1,"New South Wales",0.4203
10102100928,1100928,113,"Eden-Monaro",1,"New South Wales",0.1569
10102100929,1100929,113,"Eden-Monaro",1,"New South Wales",0.3714
10102101001,1101001,113,"Eden-Monaro",1,"New South Wales",0.0889
10102101002,1101002,113,"Eden-Monaro",1,"New South Wales",1.362
10102101003,1101003,113,"Eden-Monaro",1,"New South Wales",1.3428
10102101004,1101004,113,"Eden-Monaro",1,"New South Wales",0.0957
10102101006,1101006,113,"Eden-Monaro",1,"New South Wales",0.1403
10102101007,1101007,113,"Eden-Monaro",1,"New South Wales",0.1334
10102101008,1101008,113,"Eden-Monaro",1,"New South Wales",0.3876
10102101009,1101009,113,"Eden-Monaro",1,"New South Wales",1.1019
10102101010,1101010,113,"Eden-Monaro",1,"New South Wales",0.1015
10102101011,1101011,113,"Eden-Monaro",1,"New South Wales",1.4469
10102101012,1101012,113,"Eden-Monaro",1,"New South Wales",0.0204
